,ADS_Index
1960:03:01,-0.57262
1960:03:02,-0.619638
1960:03:03,-0.663706
1960:03:04,-0.704837
1960:03:05,-0.743043
1960:03:06,-0.778336
1960:03:07,-0.810727
1960:03:08,-0.840225
1960:03:09,-0.86684
1960:03:10,-0.890579
1960:03:11,-0.911451
1960:03:12,-0.92946
1960:03:13,-0.944614
1960:03:14,-0.956916
1960:03:15,-0.966371
1960:03:16,-0.97298
1960:03:17,-0.976747
1960:03:18,-0.977672
1960:03:19,-0.975755
1960:03:20,-0.970997
1960:03:21,-0.963395
1960:03:22,-0.952947
1960:03:23,-0.93965
1960:03:24,-0.9235
1960:03:25,-0.904493
1960:03:26,-0.882621
1960:03:27,-0.857879
1960:03:28,-0.830259
1960:03:29,-0.799752
1960:03:30,-0.76635
1960:03:31,-0.730042
1960:04:01,-0.690817
1960:04:02,-0.654832
1960:04:03,-0.622077
1960:04:04,-0.592541
1960:04:05,-0.566216
1960:04:06,-0.543093
1960:04:07,-0.523166
1960:04:08,-0.506428
1960:04:09,-0.492874
1960:04:10,-0.4825
1960:04:11,-0.475303
1960:04:12,-0.471281
1960:04:13,-0.470433
1960:04:14,-0.472757
1960:04:15,-0.478256
1960:04:16,-0.48693
1960:04:17,-0.498782
1960:04:18,-0.513816
1960:04:19,-0.532037
1960:04:20,-0.55345
1960:04:21,-0.578061
1960:04:22,-0.605879
1960:04:23,-0.63691
1960:04:24,-0.671166
1960:04:25,-0.708657
1960:04:26,-0.749393
1960:04:27,-0.793388
1960:04:28,-0.840655
1960:04:29,-0.891208
1960:04:30,-0.945063
1960:05:01,-1.00224
1960:05:02,-1.05728
1960:05:03,-1.11022
1960:05:04,-1.16107
1960:05:05,-1.20985
1960:05:06,-1.25656
1960:05:07,-1.30122
1960:05:08,-1.34385
1960:05:09,-1.38447
1960:05:10,-1.42307
1960:05:11,-1.45968
1960:05:12,-1.4943
1960:05:13,-1.52695
1960:05:14,-1.55763
1960:05:15,-1.58636
1960:05:16,-1.61314
1960:05:17,-1.63799
1960:05:18,-1.6609
1960:05:19,-1.6819
1960:05:20,-1.70097
1960:05:21,-1.71813
1960:05:22,-1.73339
1960:05:23,-1.74675
1960:05:24,-1.7582
1960:05:25,-1.76777
1960:05:26,-1.77544
1960:05:27,-1.78123
1960:05:28,-1.78513
1960:05:29,-1.78714
1960:05:30,-1.78727
1960:05:31,-1.78551
1960:06:01,-1.78187
1960:06:02,-1.7774
1960:06:03,-1.7721
1960:06:04,-1.76596
1960:06:05,-1.75899
1960:06:06,-1.75119
1960:06:07,-1.74254
1960:06:08,-1.73305
1960:06:09,-1.72272
1960:06:10,-1.71154
1960:06:11,-1.6995
1960:06:12,-1.68662
1960:06:13,-1.67287
1960:06:14,-1.65826
1960:06:15,-1.64279
1960:06:16,-1.62644
1960:06:17,-1.60921
1960:06:18,-1.5911
1960:06:19,-1.5721
1960:06:20,-1.55221
1960:06:21,-1.53142
1960:06:22,-1.50972
1960:06:23,-1.48711
1960:06:24,-1.46358
1960:06:25,-1.43912
1960:06:26,-1.41373
1960:06:27,-1.3874
1960:06:28,-1.36011
1960:06:29,-1.33187
1960:06:30,-1.30266
1960:07:01,-1.27247
1960:07:02,-1.24318
1960:07:03,-1.21477
1960:07:04,-1.18724
1960:07:05,-1.16057
1960:07:06,-1.13477
1960:07:07,-1.10982
1960:07:08,-1.08571
1960:07:09,-1.06243
1960:07:10,-1.03999
1960:07:11,-1.01837
1960:07:12,-0.997566
1960:07:13,-0.977571
1960:07:14,-0.95838
1960:07:15,-0.939987
1960:07:16,-0.922386
1960:07:17,-0.905572
1960:07:18,-0.889539
1960:07:19,-0.874284
1960:07:20,-0.8598
